a,b,R2
0.105210,0.002004,-7.203864
0.108216,0.002004,-7.168745
0.111222,0.002004,-7.133706
0.114228,0.002004,-7.098747
0.117234,0.002004,-7.063869
0.120240,0.002004,-7.029072
0.123246,0.002004,-6.994355
0.126253,0.002004,-6.959719
0.129259,0.002004,-6.925164
0.132265,0.002004,-6.890689
0.135271,0.002004,-6.856295
0.138277,0.002004,-6.821981
0.141283,0.002004,-6.787748
0.144289,0.002004,-6.753596
0.147295,0.002004,-6.719524
0.150301,0.002004,-6.685533
0.153307,0.002004,-6.651623
0.156313,0.002004,-6.617793
0.159319,0.002004,-6.584044
0.162325,0.002004,-6.550375
0.165331,0.002004,-6.516787
0.168337,0.002004,-6.483280
0.171343,0.002004,-6.449853
0.174349,0.002004,-6.416507
0.177355,0.002004,-6.383241
0.180361,0.002004,-6.350056
0.183367,0.002004,-6.316952
0.186373,0.002004,-6.283928
0.189379,0.002004,-6.250985
0.192385,0.002004,-6.218122
0.195391,0.002004,-6.185341
0.198397,0.002004,-6.152639
0.201403,0.002004,-6.120019
0.204409,0.002004,-6.087479
0.207415,0.002004,-6.055019
0.210421,0.002004,-6.022641
0.213427,0.002004,-5.990342
0.216433,0.002004,-5.958125
0.219439,0.002004,-5.925988
0.222445,0.002004,-5.893932
0.225451,0.002004,-5.861956
0.228457,0.002004,-5.830061
0.231463,0.002004,-5.798246
0.234469,0.002004,-5.766512
0.237475,0.002004,-5.734859
0.240481,0.002004,-5.703287
0.243487,0.002004,-5.671795
0.246493,0.002004,-5.640383
0.249499,0.002004,-5.609052
0.252505,0.002004,-5.577802
0.255511,0.002004,-5.546633
0.258517,0.002004,-5.515544
0.261523,0.002004,-5.484536
0.264529,0.002004,-5.453608
0.267535,0.002004,-5.422761
0.270541,0.002004,-5.391994
0.273547,0.002004,-5.361309
0.276553,0.002004,-5.330703
0.279559,0.002004,-5.300179
0.282565,0.002004,-5.269735
0.285571,0.002004,-5.239371
0.288577,0.002004,-5.209089
0.291583,0.002004,-5.178886
0.294589,0.002004,-5.148765
0.297595,0.002004,-5.118724
0.300601,0.002004,-5.088764
0.303607,0.002004,-5.058884
0.306613,0.002004,-5.029085
0.309619,0.002004,-4.999367
0.312625,0.002004,-4.969729
0.315631,0.002004,-4.940172
0.318637,0.002004,-4.910695
0.321643,0.002004,-4.881299
0.324649,0.002004,-4.851984
0.327655,0.002004,-4.822749
0.330661,0.002004,-4.793595
0.333667,0.002004,-4.764521
0.336673,0.002004,-4.735528
0.339679,0.002004,-4.706616
0.342685,0.002004,-4.677784
0.345691,0.002004,-4.649033
0.348697,0.002004,-4.620363
0.351703,0.002004,-4.591773
0.354709,0.002004,-4.563264
0.357715,0.002004,-4.534835
0.360721,0.002004,-4.506487
0.363727,0.002004,-4.478220
0.366733,0.002004,-4.450033
0.369739,0.002004,-4.421927
0.372745,0.002004,-4.393902
0.375752,0.002004,-4.365957
0.378758,0.002004,-4.338093
0.381764,0.002004,-4.310309
0.384770,0.002004,-4.282606
0.387776,0.002004,-4.254983
0.390782,0.002004,-4.227442
0.393788,0.002004,-4.199980
0.396794,0.002004,-4.172600
0.399800,0.002004,-4.145300
0.402806,0.002004,-4.118081
0.405812,0.002004,-4.090942
0.408818,0.002004,-4.063884
0.411824,0.002004,-4.036906
0.414830,0.002004,-4.010009
0.417836,0.002004,-3.983193
0.420842,0.002004,-3.956458
0.423848,0.002004,-3.929802
0.426854,0.002004,-3.903228
0.429860,0.002004,-3.876734
0.432866,0.002004,-3.850321
0.435872,0.002004,-3.823989
0.438878,0.002004,-3.797737
0.441884,0.002004,-3.771565
0.444890,0.002004,-3.745475
0.447896,0.002004,-3.719465
0.450902,0.002004,-3.693535
0.453908,0.002004,-3.667686
0.456914,0.002004,-3.641918
0.459920,0.002004,-3.616230
0.462926,0.002004,-3.590623
0.465932,0.002004,-3.565097
0.468938,0.002004,-3.539651
0.471944,0.002004,-3.514286
0.474950,0.002004,-3.489001
0.477956,0.002004,-3.463797
0.480962,0.002004,-3.438674
0.483968,0.002004,-3.413631
0.486974,0.002004,-3.388669
0.489980,0.002004,-3.363788
0.492986,0.002004,-3.338987
0.495992,0.002004,-3.314267
0.498998,0.002004,-3.289627
0.502004,0.002004,-3.265068
0.505010,0.002004,-3.240590
0.508016,0.002004,-3.216192
0.511022,0.002004,-3.191875
0.514028,0.002004,-3.167638
0.517034,0.002004,-3.143483
0.520040,0.002004,-3.119407
0.523046,0.002004,-3.095413
0.526052,0.002004,-3.071498
0.529058,0.002004,-3.047665
0.532064,0.002004,-3.023912
0.535070,0.002004,-3.000240
0.538076,0.002004,-2.976648
0.541082,0.002004,-2.953137
0.544088,0.002004,-2.929707
0.547094,0.002004,-2.906357
0.550100,0.002004,-2.883088
0.553106,0.002004,-2.859900
0.556112,0.002004,-2.836792
0.559118,0.002004,-2.813764
0.562124,0.002004,-2.790818
0.565130,0.002004,-2.767952
0.568136,0.002004,-2.745166
0.571142,0.002004,-2.722461
0.574148,0.002004,-2.699837
0.577154,0.002004,-2.677294
0.580160,0.002004,-2.654831
0.583166,0.002004,-2.632448
0.586172,0.002004,-2.610147
0.589178,0.002004,-2.587925
0.592184,0.002004,-2.565785
0.595190,0.002004,-2.543725
0.598196,0.002004,-2.521746
0.601202,0.002004,-2.499847
0.604208,0.002004,-2.478029
0.607214,0.002004,-2.456292
0.610220,0.002004,-2.434635
0.613226,0.002004,-2.413059
0.616232,0.002004,-2.391563
0.619238,0.002004,-2.370148
0.622244,0.002004,-2.348814
0.625251,0.002004,-2.327560
0.628257,0.002004,-2.306387
0.631263,0.002004,-2.285294
0.634269,0.002004,-2.264283
0.637275,0.002004,-2.243351
0.640281,0.002004,-2.222501
0.643287,0.002004,-2.201731
0.646293,0.002004,-2.181041
