Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                 688",6.380118129018e-01,2.257033727819e-03,-6.106628309345e-05,2.318100010912e-03,-1.189583147003e-03
"                 689",6.380498819041e-01,2.257562980603e-03,-6.316724130238e-05,2.320730221906e-03,-1.191948731604e-03
"                 690",6.380860205880e-01,2.269534061029e-03,-6.863778637509e-05,2.338171847404e-03,-1.203404816890e-03
"                 691",6.381212237130e-01,2.268709129346e-03,-6.932910331518e-05,2.338038232662e-03,-1.203683667988e-03
"                 692",6.381425114038e-01,2.277795376071e-03,-7.342735544152e-05,2.351222731512e-03,-1.212325043477e-03
"                 693",6.381649163330e-01,2.269524494986e-03,-6.972398335999e-05,2.339248478346e-03,-1.204486230853e-03
"                 694",6.381800289604e-01,2.266403077418e-03,-6.700626424574e-05,2.333409341663e-03,-1.200207802955e-03
"                 695",6.381914677688e-01,2.255645638296e-03,-6.363533312114e-05,2.319280971418e-03,-1.191458152269e-03
"                 696",6.381954406323e-01,2.251094652626e-03,-5.926890800373e-05,2.310363560630e-03,-1.184816234317e-03
"                 697",6.381980171348e-01,2.236089781317e-03,-5.334422113643e-05,2.289434002454e-03,-1.171389111795e-03
"                 698",6.381992000216e-01,2.228079731895e-03,-4.744179779421e-05,2.275521529689e-03,-1.161481663742e-03
"                 699",6.382044173064e-01,2.212549710913e-03,-4.120844002162e-05,2.253758150935e-03,-1.147483295478e-03
"                 700",6.382120386435e-01,2.211951399905e-03,-3.989529835121e-05,2.251846698256e-03,-1.145870998304e-03
"                 701",6.382300313548e-01,2.205262282339e-03,-3.841764427653e-05,2.243679926616e-03,-1.141048785446e-03
"                 702",6.382537217474e-01,2.209749230691e-03,-3.924094142596e-05,2.248990172117e-03,-1.144115556771e-03
"                 703",6.382874463159e-01,2.203181825402e-03,-3.699394266716e-05,2.240175768069e-03,-1.138584855368e-03
"                 704",6.383134181036e-01,2.218766341229e-03,-4.549778508451e-05,2.264264126314e-03,-1.154880955699e-03
"                 705",6.383557655604e-01,2.219894748129e-03,-4.642133641996e-05,2.266316084549e-03,-1.156368710484e-03
"                 706",6.383940302663e-01,2.231234083526e-03,-5.171135737118e-05,2.282945440897e-03,-1.167328399134e-03
"                 707",6.384329182573e-01,2.234846727298e-03,-5.490657193052e-05,2.289753299229e-03,-1.172329935580e-03
"                 708",6.384644118303e-01,2.248051865335e-03,-6.109885507077e-05,2.309150720406e-03,-1.185124787738e-03
"                 709",6.384981424338e-01,2.245765236479e-03,-6.075454384826e-05,2.306519780327e-03,-1.183637162088e-03
"                 710",6.385192734185e-01,2.252981290315e-03,-6.374321459069e-05,2.316724504906e-03,-1.190233859748e-03
"                 711",6.385423429980e-01,2.245672432869e-03,-6.117158948369e-05,2.306844022353e-03,-1.184007805918e-03
"                 712",6.385524880787e-01,2.246509435947e-03,-6.096604003345e-05,2.307475475981e-03,-1.184220758007e-03
"                 713",6.385631762425e-01,2.233001670436e-03,-5.469523234986e-05,2.287696902785e-03,-1.171196067568e-03
"                 714",6.385690748889e-01,2.224250116061e-03,-4.898747574242e-05,2.273237591803e-03,-1.161112533773e-03
"                 715",6.385690527230e-01,2.212419245858e-03,-4.472915606967e-05,2.257148401928e-03,-1.150938778999e-03
"                 716",6.385673468922e-01,2.204706206052e-03,-3.913361609032e-05,2.243839822143e-03,-1.141486719117e-03
"                 717",6.385697541612e-01,2.190149049001e-03,-3.365425526405e-05,2.223803304265e-03,-1.128728779764e-03
"                 718",6.385769229960e-01,2.188395523681e-03,-3.107920458862e-05,2.219474728270e-03,-1.125276966429e-03
"                 719",6.385909489732e-01,2.181907317817e-03,-3.000662667000e-05,2.211913944487e-03,-1.120960285578e-03
"                 720",6.386121125236e-01,2.186303408412e-03,-3.082743831051e-05,2.217130846722e-03,-1.123979142516e-03
"                 721",6.386406080070e-01,2.183431117712e-03,-3.137657668414e-05,2.214807694396e-03,-1.123092135540e-03
"                 722",6.386744168111e-01,2.192234588242e-03,-3.443330200677e-05,2.226667890249e-03,-1.130550596128e-03
"                 723",6.387106834921e-01,2.194853747262e-03,-3.758443561438e-05,2.232438182876e-03,-1.135011309245e-03
"                 724",6.387443438557e-01,2.209572580501e-03,-4.413686679623e-05,2.253709447297e-03,-1.148923157047e-03
"                 725",6.387834247025e-01,2.211478302821e-03,-4.687068398917e-05,2.258348986810e-03,-1.152609835400e-03
"                 726",6.388163273373e-01,2.223292739069e-03,-5.146095117800e-05,2.274753690247e-03,-1.163107320712e-03
"                 727",6.388491579648e-01,2.218026142526e-03,-4.973653196645e-05,2.267762674492e-03,-1.158749603229e-03
"                 728",6.388634369289e-01,2.230126372015e-03,-5.659789286202e-05,2.286724264877e-03,-1.171661078870e-03
"                 729",6.388861752533e-01,2.222485926922e-03,-5.274844188836e-05,2.275234368810e-03,-1.163991405349e-03
"                 730",6.388974710870e-01,2.220785393807e-03,-5.118447985056e-05,2.271969873657e-03,-1.161577176754e-03
"                 731",6.389070302694e-01,2.209444601571e-03,-4.707067598155e-05,2.256515277553e-03,-1.151792976767e-03
"                 732",6.389075227893e-01,2.205449976244e-03,-4.349167898348e-05,2.248941655227e-03,-1.146216667105e-03
"                 733",6.389092806732e-01,2.191250006933e-03,-3.767342392957e-05,2.228923430862e-03,-1.133298427396e-03
"                 734",6.389046519910e-01,2.185231580048e-03,-3.292233729686e-05,2.218153917345e-03,-1.125538127321e-03
"                 735",6.389051017141e-01,2.169577988664e-03,-2.642958559413e-05,2.196007574258e-03,-1.111218579926e-03
"                 736",6.389070194965e-01,2.170563105546e-03,-2.619295543480e-05,2.196756060981e-03,-1.111474508208e-03
"                 737",6.389284125289e-01,2.160052504831e-03,-2.244616636917e-05,2.182498671200e-03,-1.102472418785e-03
"                 738",6.389449442148e-01,2.166864941798e-03,-2.485707545689e-05,2.191722017255e-03,-1.108289546356e-03
